violence	15
promise	15
household	15
faces	15
tho	15
ahaziah	15
hired	15
philistine	15
heal	15
oppression	15
hungry	15
walls	15
ove	15
agains	15
centurion	15
endure	15
exhort	15
su	15
strange	15
hiram	15
prevailed	15
keeps	15
gifts	15
nobles	15
tomb	15
refused	15
scatter	15
rebuke	15
increased	15
strangers	15
oath	15
joram	15
heshbon	15
met	15
syrians	14
burned	14
gi	14
beauty	14
deceived	14
uzziah	14
beca	14
atonement	14
loaves	14
porch	14
awake	14
goats	14
boards	14
sown	14
amazed	14
ta	14
rebekah	14
redeemed	14
wouldn't	14
uriah	14
str	14
platter	14
elder	14
ourselves	14
anointing	14
milk	14
repent	14
order	14
inherit	14
fail	14
horn	14
snare	14
stars	14
crucified	14
bare	14
diligently	14
former	14
ramah	14
regard	14
desolation	14
abijah	14
herself	14
ye	14
pain	14
shallum	14
grow	14
grown	14
haste	14
smoke	14
ends	14
sacrificed	14
oracle	14
abundance	14
ai	14
kn	14
korah	14
chil	14
shekels	14
contend	14
zerubbabel	14
justified	14
hearing	14
confidence	14
horns	14
treasures	14
path	14
hurried	14
tender	14
lady	14
low	14
showed	14
pri	14
wen	14
grant	14
hail	14
ac	14
weary	14
stronghold	14
na	14
secret	14
touched	14
abishai	14
dug	14
nine	14
praises	14
shine	14
twentieth	14
pre	14
amon	13
lack	13
bashan	13
bodies	13
height	13
robe	13
test	13
gladness	13
raise	13
soldiers	13
profit	13
utter	13
apostle	13
cherub	13
strengthened	13
posts	13
authority	13
ri	13
thrust	13
seal	13
net	13
joseph's	13
fourteenth	13
jehoash	13
chi	13
rather	13
salt	13
bo	13
mourning	13
anoint	13
plain	13
fed	13
hurry	13
shem	13
aloud	13
deed	13
chambers	13
whenever	13
worshiped	13
'when	13
gre	13
age	13
escaped	13
earnestly	13
west	13
members	13
fe	13
desired	13
despised	13
breaks	13
letters	13
gibeah	13
strife	13
further	13
sorrow	13
something	13
sayin	13
rig	13
covering	13
overlaid	13
thr	13
receives	13
roar	13
foreigners	13
arm	13
preached	13
serpent	13
gibeon	13
wasn't	13
passing	13
fortified	13
burning	13
canaan	13
iniquities	13
surrounded	13
beh	13
ben	13
sore	13
